Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,0.000,,,0.000,0.148,,
0.050,0.000,0.00,,0.050,0.148,0.00,
0.100,0.000,0.00,0.0,0.100,0.148,-0.01,0.0
0.150,0.000,0.00,0.0,0.150,0.148,1.48E-5,0.1
0.200,0.000,0.00,0.0,0.200,0.148,0.00,-0.1
0.250,0.000,0.00,0.0,0.250,0.147,-0.01,-0.1
0.300,0.000,0.00,0.0,0.300,0.147,-0.01,0.1
0.350,0.000,0.00,0.0,0.350,0.147,0.00,0.1
0.400,0.000,0.00,0.0,0.400,0.147,-1.47E-5,0.1
0.450,0.000,0.00,0.0,0.450,0.147,0.00,0.0
0.500,0.000,0.00,0.0,0.500,0.147,0.00,0.0
0.550,0.000,0.00,0.0,0.550,0.147,1.47E-5,0.0
0.600,0.000,0.00,0.0,0.600,0.147,0.00,0.0
0.650,0.000,0.00,0.0,0.650,0.147,0.00,0.0
0.700,0.000,0.00,0.0,0.700,0.147,-0.01,0.0
0.750,0.000,0.00,0.0,0.750,0.146,-0.01,-4.4E-4
0.800,0.000,0.00,0.0,0.800,0.146,-0.01,0.1
0.850,0.000,0.00,0.0,0.850,0.146,-4.38E-5,0.1
0.900,0.000,0.00,0.0,0.900,0.146,0.01,5.8E-4
0.950,0.000,0.00,0.0,0.950,0.146,1.46E-5,-0.1
1.000,0.000,0.00,0.0,1.000,0.146,0.00,0.0
1.050,0.000,0.00,0.0,1.050,0.146,0.00,0.0
1.100,0.000,0.00,0.0,1.100,0.146,1.46E-5,0.0
1.150,0.000,0.00,0.0,1.150,0.146,0.00,0.1
1.200,0.000,0.00,0.0,1.200,0.146,0.01,0.2
1.250,0.000,0.00,0.0,1.250,0.147,0.02,-0.1
1.300,0.000,0.00,0.0,1.300,0.147,4.42E-5,-0.2
1.350,0.000,0.00,0.0,1.350,0.147,0.00,-0.5
1.400,0.000,0.00,0.0,1.400,0.147,-0.05,-1.2
1.450,0.000,0.00,0.0,1.450,0.142,-0.13,0.3
1.500,0.000,0.00,0.0,1.500,0.134,-0.02,3.7
1.550,0.000,0.00,0.0,1.550,0.141,0.24,3.3
1.600,0.000,0.00,0.0,1.600,0.158,0.31,0.1
1.650,0.000,0.00,0.0,1.650,0.172,0.25,-1.0
1.700,0.000,0.00,0.0,1.700,0.184,0.21,-0.4
1.750,0.000,0.00,0.0,1.750,0.193,0.22,0.3
1.800,0.000,0.00,0.0,1.800,0.205,0.25,0.4
1.850,0.000,0.00,0.0,1.850,0.218,0.25,0.0
1.900,0.000,0.00,0.0,1.900,0.231,0.25,-0.2
1.950,0.000,0.00,0.0,1.950,0.243,0.23,-0.2
2.000,0.000,0.00,0.0,2.000,0.254,0.23,0.2
2.050,0.000,0.00,0.0,2.050,0.266,0.25,0.3
2.100,0.000,0.00,0.0,2.100,0.279,0.26,0.1
2.150,0.000,0.00,0.0,2.150,0.292,0.26,0.0
2.200,0.000,0.00,0.0,2.200,0.305,0.26,0.0
2.250,0.000,0.00,0.0,2.250,0.317,0.26,0.0
2.300,0.000,0.00,0.0,2.300,0.330,0.25,0.0
2.350,0.000,0.00,0.0,2.350,0.343,0.25,-6.9E-4
2.400,0.000,0.00,0.0,2.400,0.356,0.25,0.0
2.450,0.000,0.00,0.0,2.450,0.368,0.26,0.0
2.500,0.000,0.00,0.0,2.500,0.381,0.26,0.0
2.550,0.000,0.00,0.0,2.550,0.394,0.25,-0.1
2.600,0.000,0.00,0.0,2.600,0.407,0.25,-0.1
2.650,0.000,0.00,0.0,2.650,0.419,0.25,0.0
2.700,0.000,0.00,0.0,2.700,0.432,0.25,0.1
2.750,0.000,0.00,0.0,2.750,0.444,0.26,0.3
2.800,0.000,0.00,0.0,2.800,0.457,0.28,0.3
2.850,0.000,0.00,0.0,2.850,0.472,0.29,-0.3
2.900,0.000,0.00,0.0,2.900,0.486,0.25,-0.5
2.950,0.000,0.00,0.0,2.950,0.498,0.24,-0.2
3.000,0.000,0.00,0.0,3.000,0.509,0.24,0.1
3.050,0.000,0.00,0.0,3.050,0.522,0.24,0.0
3.100,0.000,0.00,0.0,3.100,0.534,0.24,0.0
3.150,0.000,0.00,0.0,3.150,0.546,0.24,0.0
3.200,0.000,0.00,0.0,3.200,0.558,0.24,0.0
3.250,0.000,0.00,0.0,3.250,0.570,0.24,-0.1
3.300,0.000,0.00,0.0,3.300,0.582,0.24,0.0
3.350,0.000,0.00,0.0,3.350,0.594,0.24,0.0
3.400,0.000,0.00,0.0,3.400,0.606,0.24,0.0
3.450,0.000,0.00,0.0,3.450,0.618,0.24,0.0
3.500,0.000,0.00,0.0,3.500,0.630,0.24,0.0
3.550,0.000,0.00,0.0,3.550,0.641,0.24,0.0
3.600,0.000,0.00,0.0,3.600,0.653,0.23,-0.1
3.650,0.000,0.00,0.0,3.650,0.665,0.23,0.0
3.700,0.000,0.00,0.0,3.700,0.676,0.23,0.0
3.750,0.000,0.00,0.0,3.750,0.688,0.23,-0.1
3.800,0.000,0.00,0.0,3.800,0.699,0.23,0.0
3.850,0.000,0.00,0.0,3.850,0.710,0.23,0.0
3.900,0.000,0.00,0.0,3.900,0.721,0.22,-0.1
3.950,0.000,0.00,0.0,3.950,0.733,0.22,-0.1
4.000,0.000,0.00,0.0,4.000,0.743,0.22,0.0
4.050,0.000,0.00,0.0,4.050,0.754,0.22,0.0
4.100,0.000,0.00,0.0,4.100,0.765,0.22,0.0
4.150,0.000,0.00,0.0,4.150,0.776,0.21,0.0
4.200,0.000,0.00,0.0,4.200,0.787,0.21,0.0
4.250,0.000,0.00,0.0,4.250,0.797,0.21,-0.1
4.300,0.000,0.00,0.0,4.300,0.808,0.21,-0.2
4.350,0.000,0.00,0.0,4.350,0.818,0.20,-0.1
4.400,0.000,0.00,0.0,4.400,0.828,0.20,0.1
4.450,0.000,0.00,0.0,4.450,0.838,0.20,0.0
4.500,0.000,0.00,0.0,4.500,0.848,0.20,0.0
4.550,0.000,0.00,0.0,4.550,0.858,0.20,0.0
4.600,0.000,0.00,0.0,4.600,0.868,0.20,-0.1
4.650,0.000,0.00,0.0,4.650,0.878,0.19,-0.1
4.700,0.000,0.00,0.0,4.700,0.888,0.19,-0.1
4.750,0.000,0.00,0.0,4.750,0.897,0.19,-0.1
4.800,0.000,0.00,0.0,4.800,0.906,0.19,0.0
4.850,0.000,0.00,0.0,4.850,0.916,0.19,-0.1
4.900,0.000,0.00,0.0,4.900,0.925,0.18,-0.1
4.950,0.000,0.00,0.0,4.950,0.934,0.18,-0.1
5.000,0.000,0.00,0.0,5.000,0.943,0.18,-0.1
5.050,0.000,0.00,0.0,5.050,0.952,0.17,0.0
5.100,0.000,0.00,0.0,5.100,0.960,0.17,-0.1
5.150,0.000,0.00,0.0,5.150,0.969,0.17,-0.1
5.200,0.000,0.00,0.0,5.200,0.977,0.16,-0.1
5.250,0.000,0.00,0.0,5.250,0.985,0.16,-0.1
5.300,0.000,0.00,0.0,5.300,0.993,0.15,-0.2
5.350,0.000,0.00,0.0,5.350,1.000,0.14,-0.2
5.400,0.000,0.00,0.0,5.400,1.007,0.13,-0.3
5.450,0.000,0.00,0.0,5.450,1.013,0.11,-0.5
5.500,0.000,0.00,0.0,5.500,1.018,0.08,-0.8
5.550,0.000,0.00,0.0,5.550,1.021,0.03,-1.1
5.600,0.000,0.00,0.0,5.600,1.022,-0.02,-1.0
5.650,0.000,0.00,0.0,5.650,1.019,-0.07,-0.8
5.700,0.000,0.00,0.0,5.700,1.015,-0.10,-0.5
5.750,0.000,0.00,0.0,5.750,1.009,-0.12,-0.3
5.800,0.000,0.00,0.0,5.800,1.003,-0.13,-0.2
5.850,0.000,0.00,0.0,5.850,0.996,-0.14,-0.1
5.900,0.000,0.00,0.0,5.900,0.989,-0.14,-0.1
5.950,0.000,0.00,0.0,5.950,0.982,-0.15,-0.1
6.000,0.000,0.00,0.0,6.000,0.974,-0.15,0.0
6.050,0.000,0.00,0.0,6.050,0.967,-0.15,0.0
6.100,0.000,0.00,0.0,6.100,0.959,-0.15,0.0
6.150,0.000,0.00,0.0,6.150,0.952,-0.15,0.0
6.200,0.000,0.00,0.0,6.200,0.944,-0.15,0.0
6.250,0.000,0.00,0.0,6.250,0.937,-0.15,0.0
6.300,0.000,0.00,0.0,6.300,0.929,-0.15,-3.0E-5
6.350,0.000,0.00,0.0,6.350,0.922,-0.15,9.4E-4
6.400,0.000,0.00,0.0,6.400,0.914,-0.15,0.0
6.450,0.000,0.00,0.0,6.450,0.906,-0.15,2.5E-14
6.500,0.000,0.00,0.0,6.500,0.899,-0.15,-8.8E-4
6.550,0.000,0.00,0.0,6.550,0.891,-0.15,0.0
6.600,0.000,0.00,0.0,6.600,0.883,-0.15,0.0
6.650,0.000,0.00,0.0,6.650,0.876,-0.15,0.0
6.700,0.000,0.00,0.0,6.700,0.868,-0.15,0.0
6.750,0.000,0.00,0.0,6.750,0.861,-0.15,0.0
6.800,0.000,0.00,0.0,6.800,0.853,-0.15,0.0
6.850,0.000,0.00,0.0,6.850,0.846,-0.15,0.0
6.900,0.000,0.00,0.0,6.900,0.838,-0.15,0.0
6.950,0.000,0.00,0.0,6.950,0.831,-0.15,0.0
7.000,0.000,0.00,0.0,7.000,0.823,-0.15,0.1
7.050,0.000,0.00,0.0,7.050,0.816,-0.14,0.0
7.100,0.000,0.00,0.0,7.100,0.809,-0.14,0.0
7.150,0.000,0.00,0.0,7.150,0.802,-0.15,0.0
7.200,0.000,0.00,0.0,7.200,0.794,-0.15,-7.8E-4
7.250,0.000,0.00,0.0,7.250,0.787,-0.15,0.0
7.300,0.000,0.00,0.0,7.300,0.780,-0.14,0.0
7.350,0.000,0.00,0.0,7.350,0.773,-0.14,0.1
7.400,0.000,0.00,0.0,7.400,0.766,-0.14,0.0
7.450,0.000,0.00,0.0,7.450,0.759,-0.14,0.0
7.500,0.000,0.00,0.0,7.500,0.751,-0.14,0.0
7.550,0.000,0.00,0.0,7.550,0.744,-0.14,0.1
7.600,0.000,0.00,0.0,7.600,0.737,-0.14,0.0
7.650,0.000,0.00,0.0,7.650,0.731,-0.14,-7.2E-4
7.700,0.000,0.00,0.0,7.700,0.724,-0.14,0.0
7.750,0.000,0.00,0.0,7.750,0.717,-0.14,0.1
7.800,0.000,0.00,0.0,7.800,0.710,-0.13,0.0
7.850,0.000,0.00,0.0,7.850,0.704,-0.13,0.0
7.900,0.000,0.00,0.0,7.900,0.697,-0.13,0.0
7.950,0.000,0.00,0.0,7.950,0.690,-0.13,0.0
8.000,0.000,0.00,0.0,8.000,0.684,-0.13,0.0
8.050,0.000,0.00,0.0,8.050,0.677,-0.13,0.0
8.100,0.000,0.00,0.0,8.100,0.671,-0.13,-6.6E-4
8.150,0.000,0.00,0.0,8.150,0.664,-0.13,0.0
8.200,0.000,0.00,0.0,8.200,0.658,-0.13,0.0
8.250,0.000,0.00,0.0,8.250,0.652,-0.13,0.0
8.300,0.000,0.00,0.0,8.300,0.645,-0.13,0.0
8.350,0.000,0.00,0.0,8.350,0.639,-0.12,0.0
8.400,0.000,0.00,0.0,8.400,0.633,-0.12,0.0
8.450,0.000,0.00,0.0,8.450,0.627,-0.12,0.0
8.500,0.000,0.00,0.0,8.500,0.621,-0.12,0.0
8.550,0.000,0.00,0.0,8.550,0.615,-0.12,-6.0E-4
8.600,0.000,0.00,0.0,8.600,0.609,-0.12,0.0
8.650,0.000,0.00,0.0,8.650,0.603,-0.12,0.0
8.700,0.000,0.00,0.0,8.700,0.597,-0.12,0.0
8.750,0.000,0.00,0.0,8.750,0.592,-0.11,0.0
8.800,0.000,0.00,0.0,8.800,0.586,-0.11,0.0
8.850,0.000,0.00,0.0,8.850,0.580,-0.11,0.0
8.900,0.000,0.00,0.0,8.900,0.575,-0.11,0.0
8.950,0.000,0.00,0.0,8.950,0.569,-0.11,0.0
9.000,0.000,0.00,0.0,9.000,0.564,-0.11,0.0
9.050,0.000,0.00,0.0,9.050,0.559,-0.10,0.0
9.100,0.000,0.00,0.0,9.100,0.554,-0.10,0.0
9.150,0.000,0.00,0.0,9.150,0.549,-0.10,0.0
9.200,0.000,0.00,0.0,9.200,0.544,-0.10,0.1
9.250,0.000,0.00,0.0,9.250,0.539,-0.10,0.0
9.300,0.000,0.00,0.0,9.300,0.534,-0.10,0.0
9.350,0.000,0.00,0.0,9.350,0.529,-0.09,0.1
9.400,0.000,0.00,0.0,9.400,0.525,-0.09,0.0
9.450,0.000,0.00,0.0,9.450,0.520,-0.09,0.0
9.500,0.000,0.00,0.0,9.500,0.516,-0.09,0.1
9.550,0.000,0.00,0.0,9.550,0.511,-0.09,0.1
9.600,0.000,0.00,0.0,9.600,0.507,-0.08,0.1
9.650,0.000,0.00,0.0,9.650,0.503,-0.08,0.0
9.700,0.000,0.00,0.0,9.700,0.499,-0.08,0.0
9.750,0.000,0.00,0.0,9.750,0.495,-0.08,0.1
9.800,0.000,0.00,0.0,9.800,0.491,-0.07,0.1
9.850,0.000,0.00,0.0,9.850,0.488,-0.07,0.0
9.900,0.000,0.00,0.0,9.900,0.484,-0.07,0.1
9.950,0.000,0.00,0.0,9.950,0.480,-0.07,0.0
10.000,0.000,0.00,0.0,10.000,0.477,-0.07,0.0
10.050,0.000,0.00,0.0,10.050,0.474,-0.07,0.1
10.100,0.000,0.00,0.0,10.100,0.471,-0.06,0.0
10.150,0.000,0.00,0.0,10.150,0.468,-0.06,0.0
10.200,0.000,0.00,0.0,10.200,0.464,-0.06,0.1
10.250,0.000,0.00,0.0,10.250,0.461,-0.05,0.2
10.300,0.000,0.00,0.0,10.300,0.459,-0.05,-0.1
10.350,0.000,0.00,0.0,10.350,0.457,-0.06,-0.2
10.400,0.000,0.00,0.0,10.400,0.453,-0.07,0.0
10.450,0.000,0.00,0.0,10.450,0.450,-0.06,0.2
10.500,0.000,0.00,0.0,10.500,0.447,-0.05,0.1
10.550,0.000,0.00,0.0,10.550,0.445,-0.05,0.0
10.600,0.000,0.00,0.0,10.600,0.442,-0.05,0.1
10.650,0.000,0.00,0.0,10.650,0.440,-0.04,0.2
10.700,0.000,0.00,0.0,10.700,0.438,-0.04,0.1
10.750,0.000,0.00,0.0,10.750,0.436,-0.03,0.1
10.800,0.000,0.00,0.0,10.800,0.434,-0.03,0.1
10.850,0.000,0.00,0.0,10.850,0.433,-0.03,0.0
10.900,0.000,0.00,0.0,10.900,0.432,-0.03,0.1
10.950,0.000,0.00,0.0,10.950,0.430,-0.02,0.1
11.000,0.000,0.00,0.0,11.000,0.429,-0.02,0.1
11.050,0.000,0.00,0.0,11.050,0.428,-0.02,0.1
11.100,0.000,0.00,0.0,11.100,0.428,-0.02,0.0
11.150,0.000,0.00,0.0,11.150,0.427,-0.02,0.0
11.200,0.000,0.00,0.0,11.200,0.426,-0.01,0.1
11.250,0.000,0.00,0.0,11.250,0.426,-0.01,0.0
11.300,0.000,0.00,0.0,11.300,0.425,-0.01,0.0
11.350,0.000,0.00,0.0,11.350,0.425,-0.01,0.1
11.400,0.000,0.00,0.0,11.400,0.424,0.00,0.1
11.450,0.000,0.00,0.0,11.450,0.424,0.00,0.0
11.500,0.000,0.00,0.0,11.500,0.424,0.00,0.0
11.550,0.000,0.00,0.0,11.550,0.424,-4.24E-5,0.0
11.600,0.000,0.00,0.0,11.600,0.424,0.00,0.0
11.650,0.000,0.00,0.0,11.650,0.424,0.00,4.2E-4
11.700,0.000,0.00,0.0,11.700,0.424,0.00,0.0
11.750,0.000,0.00,0.0,11.750,0.424,-4.24E-5,-8.5E-4
11.800,0.000,0.00,0.0,11.800,0.424,0.00,0.0
11.850,0.000,0.00,0.0,11.850,0.424,0.00,0.0
11.900,0.000,0.00,0.0,11.900,0.425,0.00,0.0
11.950,0.000,0.00,0.0,11.950,0.424,-4.25E-5,0.0
12.000,0.000,0.00,0.0,12.000,0.425,0.00,0.0
12.050,0.000,0.00,0.0,12.050,0.425,0.00,0.0
12.100,0.000,0.00,0.0,12.100,0.425,4.25E-5,0.0
12.150,0.000,0.00,0.0,12.150,0.425,0.00,-4.2E-4
12.200,0.000,0.00,0.0,12.200,0.425,0.00,0.0
12.250,0.000,0.00,0.0,12.250,0.425,4.25E-5,0.0
12.300,0.000,0.00,0.0,12.300,0.425,0.00,-4.2E-4
12.350,0.000,0.00,0.0,12.350,0.424,0.00,0.0
12.400,0.000,0.00,0.0,12.400,0.425,0.00,-4.2E-4
12.450,0.000,0.00,0.0,12.450,0.424,-4.25E-5,0.0
12.500,0.000,0.00,0.0,12.500,0.425,0.00,4.2E-4
12.550,0.000,0.00,0.0,12.550,0.425,0.00,0.0
12.600,0.000,0.00,0.0,12.600,0.425,0.00,0.0
12.650,0.000,0.00,0.0,12.650,0.425,0.00,0.0
12.700,0.000,0.00,0.0,12.700,0.425,0.00,0.0
12.750,0.000,0.00,0.0,12.750,0.425,0.00,0.0
12.800,0.000,0.00,0.0,12.800,0.425,0.00,0.0
12.850,0.000,0.00,0.0,12.850,0.425,0.00,0.0
12.900,0.000,0.00,0.0,12.900,0.425,0.00,0.0
12.950,0.000,0.00,0.0,12.950,0.425,0.00,4.2E-4
13.000,0.000,0.00,0.0,13.000,0.425,4.25E-5,0.0
13.050,0.000,0.00,0.0,13.050,0.425,0.00,-4.2E-4
13.100,0.000,0.00,0.0,13.100,0.424,0.00,0.0
13.150,0.000,0.00,0.0,13.150,0.425,0.00,-4.2E-4
13.200,0.000,0.00,,13.200,0.424,-4.25E-5,0.0
13.250,0.000,,,13.250,0.425,0.00,0.0
,,,,13.300,0.425,0.00,0.0
,,,,13.350,0.424,-4.25E-5,0.0
,,,,13.400,0.425,0.00,4.2E-4
,,,,13.450,0.425,0.00,0.0
,,,,13.500,0.425,0.00,4.2E-4
,,,,13.550,0.425,4.25E-5,0.0
,,,,13.600,0.425,0.00,0.0
,,,,13.650,0.424,0.00,0.0
,,,,13.700,0.424,0.00,0.0
,,,,13.750,0.425,4.24E-5,0.0
,,,,13.800,0.424,0.00,-4.2E-4
,,,,13.850,0.424,0.00,
,,,,13.900,0.424,,
